textDisplay
Sangat setuju
Se 7 lah itu cara positif brooo
sekalian sja komnas HAM dan DPR di gembleng supaya gx lagi bermental tempe
"setuujuuuuuuuuuu,,, spy tdk ada lagi geng geng motor n geng geng begalll"
Setuju bingit
Setuju biar lebih baik lagi
Orang yang tidak setuju dengan program ini berarti orang guoblok dan tidak berilmu agama dan budi pekerti yang baik mereka yang tidak setuju dengan program seperti ini berarti pola pikir mereka seperti Yahudi askanasi..
NGOCEH DAN NYINYIR SAJA TIDAK BERBUAT MALU MALUIN
Mantap bagus 👍👍👍💪💪💪💪
Bagusnya kpai digembleng di barak kopasus biar nyaho
Kpai tidak setuju karena kehilangan proyek. <br>DPR tidak setuju karena takut kalo mereka turun demo
Tanya sama anak dan ibunya langsung..bermanfaat gak buat mereka program ini..daripada koar2 di sidang...lihat perbedaan karakter sama mental mereka sama orangtuanya gimana....
Saya sangat setuju
Mantap bosss sangat setuju porgam pak Dedi mulyadi
"sangat setuju sekali dan Komnasham dgn DPR nggak usah dianggap, omongannya anggap saja seperti angin lalu mereka cuma cari perhatian saja"
KEREN program KDM 👌👌👍👍🥰🥰❤️❤️❤️
Setuju
Kl g setuju mending bubar aja hai dpr ri
dilatih biar badan dan mentalnya kuat...❤❤❤
"Lanjutkan KDM, setuju bgtbgtbgt. Yg ngomong tanya kerjanya apa??? Selama ini gimana kondisi anak-anak, tawuran, ngelem, gila game, bahkan ada yg bunuh, dah kalo gak bisa kerja, jangan cari panggung deh"
"Yg g setuju silahkan pungut anak² nakal susah di atur itu, lah wong orang tuanya saja setuju kok kalian g setuju, <br>Ini ide brilian KDM, semoga KDM panjang umur sehat selalu"
Coba komnas ham n dpr wajib militer trs kirim dipapua sbgai barisan depan atau pembuka jln perdamaian
